p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
3.5817521656e-314,8.54154211579333,0.339,0.002,2.10857749987191e-309,Organ_Liver_Digestive_endothelial cell of hepatic sinusoid_query,NOS3
1.3074443529855207e-149,8.503327580248596,0.161,0.001,7.69692490602576e-145,Organ_Liver_Digestive_endothelial cell of hepatic sinusoid_query,CRISPLD1
1.081790446699017e-121,12.680630999197048,0.124,0,6.368500359717113e-117,Organ_Liver_Digestive_endothelial cell of hepatic sinusoid_query,KLHL4
0,8.367547038135246,0.754,0.004,0,Organ_Liver_Digestive_endothelial cell of hepatic sinusoid_noquery,CLEC14A
0,9.10643222102234,0.507,0.002,0,Organ_Liver_Digestive_endothelial cell of hepatic sinusoid_noquery,ECSCR
0,8.762944625233906,0.471,0.002,0,Organ_Liver_Digestive_endothelial cell of hepatic sinusoid_noquery,TFPI2
0,9.233137328355003,0.459,0.002,0,Organ_Liver_Digestive_endothelial cell of hepatic sinusoid_noquery,RHOJ
0,8.415915858159309,0.422,0.002,0,Organ_Liver_Digestive_endothelial cell of hepatic sinusoid_noquery,EXOC3L2
0,8.431517661409114,0.42,0.002,0,Organ_Liver_Digestive_endothelial cell of hepatic sinusoid_noquery,NRN1
0,8.326993022573069,0.41,0.002,0,Organ_Liver_Digestive_endothelial cell of hepatic sinusoid_noquery,NOVA2
3.5817521656e-314,8.54154211579333,0.339,0.002,2.10857749987191e-309,Organ_Liver_Digestive_endothelial cell of hepatic sinusoid_noquery,NOS3
1.3074443529855207e-149,8.503327580248596,0.161,0.001,7.69692490602576e-145,Organ_Liver_Digestive_endothelial cell of hepatic sinusoid_noquery,CRISPLD1
1.081790446699017e-121,12.680630999197048,0.124,0,6.368500359717113e-117,Organ_Liver_Digestive_endothelial cell of hepatic sinusoid_noquery,KLHL4
